Organization short name,Organization long name,Country,Partner,Type
ARIB,Association of Radio Industries and Businesses,JAPAN,ARIB,ORGANIZATIONAL PARTNERS
ATIS,Alliance for Telecommunications Industry Solutions,UNITED STATES,ATIS,ORGANIZATIONAL PARTNERS
CCSA,China Communications Standards Association,CHINA,CCSA,ORGANIZATIONAL PARTNERS
ETSI,European Telecommunications Standards Institute,FRANCE,ETSI,ORGANIZATIONAL PARTNERS
TSDSI,Telecommunications Standards Development Society  India,INDIA,TSDSI,ORGANIZATIONAL PARTNERS
TTA,Telecommunications Technology Association (TTA),KOREA (REPUBLIC OF),TTA,ORGANIZATIONAL PARTNERS
TTC,The Telecommunication Technology Committee,JAPAN,TTC,ORGANIZATIONAL PARTNERS
3in,Industrial Internet Innovation Center (Shanghai) Co. Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
450connect GmbH,450connect GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
A.S.T.R.I.D. SA/NV,A.S.T.R.I.D. SA,BELGIUM,ETSI,INDIVIDUAL MEMBERS
ABP  NRTA,Academy of Broadcasting Planning  NRTA,CHINA,CCSA,INDIVIDUAL MEMBERS
ABS,Academy of Broadcasting Science  NRTA,CHINA,CCSA,INDIVIDUAL MEMBERS
AccelerComm Ltd,AccelerComm Ltd,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Acer Incorporated,Acer Incorporated,TAIWAN  PROVINCE OF CHINA,ETSI,INDIVIDUAL MEMBERS
adare GmbH,adare GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
Airbus,Airbus DS SLC,FRANCE,ETSI,INDIVIDUAL MEMBERS
Ajou University,Ajou University,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
albis-elcon system GermanyGmbH,albis-elcon system Germany GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
All Connected BV,Rail Connected,NETHERLANDS,ETSI,INDIVIDUAL MEMBERS
Allot Ltd,Allot Ltd,ISRAEL,ETSI,INDIVIDUAL MEMBERS
Altan Redes S.A.P.I. de C.V.,Altan Redes S.A.P.I. de C.V.,MEXICO,ETSI,INDIVIDUAL MEMBERS
Amazon Web Services,Amazon Web Services EMEA SARL,LUXEMBOURG,ETSI,INDIVIDUAL MEMBERS
Amdocs Software Systems Ltd,Amdocs Software Systems Limited,IRELAND,ETSI,INDIVIDUAL MEMBERS
Analog Devices  Inc.,Analog Devices  Inc.,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Anemone Technology,Anemone Technology,DENMARK,ETSI,INDIVIDUAL MEMBERS
Anritsu Corporation,ANRITSU CORPORATION,JAPAN,ARIB,INDIVIDUAL MEMBERS
Anritsu EMEA Ltd,Anritsu EMEA Ltd,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Anterix,Anterix,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Apple,Apple Purchase Operation management,CHINA,CCSA,INDIVIDUAL MEMBERS
Apple (Guizhou),Apple Technology Services (Guizhou) Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Apple (UK) Limited,Apple (UK) Limited,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Apple (Ulanqab),Apple Technology Services (Ulanqab) Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
Apple AB Denmark,Apple AB  filial AF Apple Aktiebolag  Sverige,DENMARK,ETSI,INDIVIDUAL MEMBERS
Apple Benelux B.V.,Apple Benelux B.V.,NETHERLANDS,ETSI,INDIVIDUAL MEMBERS
Apple Benelux B.V. - Belgium,Apple Benelux B.V. - Belgium Branch,BELGIUM,ETSI,INDIVIDUAL MEMBERS
Apple Computer Trading Co. Ltd,Apple Computer Trading (Shanghai) Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Apple Distribution Intl Ltd,Apple Distribution International Limited,IRELAND,ETSI,INDIVIDUAL MEMBERS
Apple France,Apple France,FRANCE,ETSI,INDIVIDUAL MEMBERS
Apple GmbH,Apple GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
Apple Inc,Apple Inc,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Apple R&D,Apple R&D,CHINA,CCSA,INDIVIDUAL MEMBERS
Apple Solutions,Apple Solutions Consulting Services (Beijing) Company Limited,CHINA,CCSA,INDIVIDUAL MEMBERS
Apple Switzerland AG,Apple Switzerland AG,SWITZERLAND,ETSI,INDIVIDUAL MEMBERS
Apple Trading,Apple Trading (Shanghai) Company Limited,CHINA,CCSA,INDIVIDUAL MEMBERS
AQSACOM S.A.S.,AQSACOM S.A.S.,FRANCE,ETSI,INDIVIDUAL MEMBERS
Arriver Software AB,Arriver Software AB,SWEDEN,ETSI,INDIVIDUAL MEMBERS
ARTICLE19,ARTICLE19,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
ASELSAN,ASELSAN Inc.,TÜRKIYE,ETSI,INDIVIDUAL MEMBERS
AsiaInfo,AsiaInfo Technologies (China)  Inc.,CHINA,CCSA,INDIVIDUAL MEMBERS
AsiaInfo Technologies Inc,AsiaInfo Technologies Inc,CHINA,ETSI,INDIVIDUAL MEMBERS
ASR,ASR Microelectronics Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
ASTRI,Hong Kong Applied Science & Technology Research Institute,HONG KONG,ETSI,INDIVIDUAL MEMBERS
Astrome Technologies Pvt Lt,Astrome Technologies Pvt Lt,INDIA,TSDSI,INDIVIDUAL MEMBERS
ASUSTEK COMPUTER (SHANGHAI),ASUSTEK COMPUTER (SHANGHAI) CO. LTD.,CHINA,CCSA,INDIVIDUAL MEMBERS
AT&T,AT&T,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
AT&T GNS Belgium SPRL,AT&T Global Network Services Belgium SPRL,BELGIUM,ETSI,INDIVIDUAL MEMBERS
AT&T Labs  Inc,AT&T Labs  Inc,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
AT&T Services  Inc.,AT&T Services  Inc.,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
ATEME,ATEME SA,FRANCE,ETSI,INDIVIDUAL MEMBERS
Avanti,Avanti Communications Ltd,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Axyom.Core,Axyom.Core Inc,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
BAE Systems AI Ltd,BAE Systems Applied Intelligence Limited,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Baicells Technologies Co. Ltd,Baicells Technologies Co. Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
BBC,BRITISH BROADCASTING CORPORATION,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
B-Com,B-Com,FRANCE,ETSI,INDIVIDUAL MEMBERS
BDBOS,Federal Agency for Public Safety Digital Radio,GERMANY,ETSI,INDIVIDUAL MEMBERS
BeammWave AB,BeammWave AB,SWEDEN,ETSI,INDIVIDUAL MEMBERS
Beijing Lenovo Software Ltd.,Beijing Lenovo Software Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
BEIJING SAMSUNG TELECOM R&D,BEIJING SAMSUNG TELECOM R&D CENTER,CHINA,CCSA,INDIVIDUAL MEMBERS
Beijing Xiaomi Electronics,Beijing Xiaomi Electronics,CHINA,CCSA,INDIVIDUAL MEMBERS
Beijing Xiaomi Mobile Software,Beijing Xiaomi Mobile Software Co.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
Beijing Xiaomi Mobile Software,Beijing Xiaomi Mobile Software Co.  Ltd.,CHINA,ETSI,INDIVIDUAL MEMBERS
Beijing Xiaomi Software Tech,Beijing Xiaomi Software Technology,CHINA,CCSA,INDIVIDUAL MEMBERS
Bell Mobility,Bell Mobility,CANADA,ETSI,INDIVIDUAL MEMBERS
BfV,Bundesamt für Verfassungsschutz,GERMANY,ETSI,INDIVIDUAL MEMBERS
Bharti Airtel Limited,Bharti Airtel Limited,INDIA,TSDSI,INDIVIDUAL MEMBERS
BIFNC,BRICS Institute of Future Network,CHINA,CCSA,INDIVIDUAL MEMBERS
BIPT,BIPT - Belgian Institute for Postal services & Telecommunications,BELGIUM,ETSI,INDIVIDUAL MEMBERS
Bittium Wireless Ltd.,Bittium Wireless Ltd.,FINLAND,ETSI,INDIVIDUAL MEMBERS
BJTU,Beijing Jiaotong University,CHINA,CCSA,INDIVIDUAL MEMBERS
BKA,Bundeskriminalamt,GERMANY,ETSI,INDIVIDUAL MEMBERS
Bluetest AB,Bluetest AB,SWEDEN,ETSI,INDIVIDUAL MEMBERS
BMF,Austrian Federal Ministry of Finance,AUSTRIA,ETSI,INDIVIDUAL MEMBERS
BMW AG,Bayerische Motoren Werke AG,GERMANY,ETSI,INDIVIDUAL MEMBERS
BMWK,Bundesministerium für Wirtschaft und Klimaschutz,GERMANY,ETSI,INDIVIDUAL MEMBERS
BOCRA,Botswana Communications Regulatory Authority,BOTSWANA,ETSI,INDIVIDUAL MEMBERS
BOUYGUES Telecom,BOUYGUES Telecom,FRANCE,ETSI,INDIVIDUAL MEMBERS
Broadcom (EU),Broadcom Europe Ltd,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
BSI (DE),Bundesamt für Sicherheit in der Informationstechnik,GERMANY,ETSI,INDIVIDUAL MEMBERS
BSNL,Bharat Sanchar Nigam Limited,INDIA,TSDSI,INDIVIDUAL MEMBERS
BT plc,British Telecommunications plc,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
BTL Inc.,BTL Inc.,CHINA,ETSI,INDIVIDUAL MEMBERS
BTPDI,Beijing Telecom Planning & Designing Institute Co. LTD.,CHINA,CCSA,INDIVIDUAL MEMBERS
BUPT,Beijing University of Posts and Telecommunications,CHINA,CCSA,INDIVIDUAL MEMBERS
Bureau Veritas ADT,Bureau Veritas Consumer Products Services (Hong Kong) Limited  Taoyuan Branch,TAIWAN  PROVINCE OF CHINA,ETSI,INDIVIDUAL MEMBERS
Bytedance,Bytedance (Nanjing) Technology Research and Development Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
C Spire Wireless,C Spire Wireless,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
CableLabs,CableLabs,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
Cadence Design Systems Inc.,Cadence Design Systems Inc.,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
CAICT.,China Academy of Information and Communications Technology,CHINA,CCSA,INDIVIDUAL MEMBERS
CALTTA,CALTTA TECHNOLOGIES CO.  LTD.,CHINA,CCSA,INDIVIDUAL MEMBERS
Cambium Networks Limited,Cambium Networks Limited,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
CAMBRIDGE CONSULTANTS LTD,CAMBRIDGE CONSULTANTS LTD,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
CANON Research Centre France,CANON Research Centre France SAS,FRANCE,ETSI,INDIVIDUAL MEMBERS
CAPGEMINI,CAPGEMINI TECHNOLOGY SERVICES INDIA LIMITED,INDIA,TSDSI,INDIVIDUAL MEMBERS
Catapult,Satellite Applications Catapult Ltd,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
CATT,China Academy of Telecommunications Technology (CATT),CHINA,ETSI,INDIVIDUAL MEMBERS
