data
"""_id:id"",""_labels:label"",""captain"",""country"",""date"",""level"",""location"",""name"",""number"",""release"",""section_id"",""tdocnumber"",""title"",""_start:id"",""_end:id"",""_type:label""
""0"","":CR"",""R1-111921"","""","""","""","""","""","""","""","""",""R1-111921"",""Update feature X functionality"",,,
""1"","":CR"",""R1-111922"","""","""","""","""","""","""","""","""",""R1-111922"",""Fix issue with module Y"",,,
""2"","":CR"",""R1-111923"","""","""","""","""","""","""","""","""",""R1-111923"",""Optimize Radio Access Network algorithms"",,,
""3"","":CR"",""R1-111924"","""","""","""","""","""","""","""","""",""R1-111924"",""Revision of Update feature X functionality"",,,
""4"","":Section"",""4.3.1.2"","""","""",""4.3.1.2"","""","""","""","""",""s12"","""",""Control plane"",,,
""5"","":Section"",""4.3.1.1"","""","""",""4.3.1.1"","""","""","""","""",""s11"","""",""User plane"",,,
""6"","":Spec"",""38.300"","""","""","""","""","""",""38.300"",""V18.0.0"","""","""","""",,,
""7"","":Source"",""Nokia"",""Finland"","""","""","""",""Nokia"","""","""","""","""","""",,,
""8"","":Source"",""Ericsson"",""Sweden"","""","""","""",""Ericsson"","""","""","""","""","""",,,
""9"","":Meeting"",""#123"","""",""23-04-2024"","""",""Changsha, China"","""",""#123"","""","""","""","""",,,
""10"","":Meeting"",""#124"","""",""25-04-2024"","""",""Beijing, China"","""",""#124"","""","""","""","""",,,
,,,,,,,,,,,,,""0"",""7"",""CREATED_BY""
,,,,,,,,,,,,,""0"",""9"",""APPROVED_BY""
,,,,,,,,,,,,,""0"",""4"",""AFFECTS""
,,,,,,,,,,,,,""1"",""8"",""CREATED_BY""
,,,,,,,,,,,,,""1"",""10"",""APPROVED_BY""
,,,,,,,,,,,,,""1"",""4"",""AFFECTS""
,,,,,,,,,,,,,""2"",""9"",""APPROVED_BY""
,,,,,,,,,,,,,""2"",""4"",""AFFECTS""
,,,,,,,,,,,,,""2"",""5"",""AFFECTS""
,,,,,,,,,,,,,""3"",""0"",""REVISED_FROM""
,,,,,,,,,,,,,""6"",""4"",""FROM_SPEC""
,,,,,,,,,,,,,""6"",""5"",""FROM_SPEC""
"
